name,styleUrl,fill-opacity,fill,stroke-opacity,stroke,stroke-width,icon-offset,icon-offset-units,icon,latitude,longitude
24,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97289657953321,23.72197242649659
25,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97273070240082,23.72618369864128
26,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97280735531229,23.72640622902745
27,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97284397059826,23.72659777583331
28,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97282814507034,23.72665937355631
29,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97259332277047,23.72549653375508
30,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97381947190517,23.72477432973428
31,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97382387071867,23.72489834527769
32,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97415522492069,23.72670584956324
33,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97356637916575,23.72548882917905
34,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97351791744125,23.7259204230823
35,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97562787133228,23.72553411769746
36,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97394019789276,23.72536802015107
51,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97533458222527,23.72295831233722
52,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97519286664041,23.7229895787198
53,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97494109794263,23.72231219607079
54,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97488183567503,23.72246675920688
55,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97489793001593,23.72275372270236
